time,CHD_L01,CHD_L06,CHD_L11,CHD_L13
30153.50,-15.9589,-42.8352,-42.8352,-44.8843
30154.50,-15.9595,-42.8028,-42.8028,-44.8682
30155.50,-15.9598,-42.7705,-42.7705,-44.8523
30156.50,-15.9601,-42.7382,-42.7382,-44.8368
30157.50,-15.9607,-42.7059,-42.7059,-44.8219
30158.50,-15.9610,-42.6736,-42.6736,-44.8072
30159.50,-15.9613,-42.6413,-42.6413,-44.7932
30160.50,-15.9616,-42.6090,-42.6090,-44.7795
30161.50,-15.9622,-42.5767,-42.5767,-44.7667
30162.50,-15.9625,-42.5444,-42.5444,-44.7542
30163.50,-15.9628,-42.5361,-42.5361,-44.7426
30164.50,-15.9634,-42.5279,-42.5279,-44.7313
30165.50,-15.9637,-42.5197,-42.5197,-44.7207
30166.50,-15.9640,-42.5115,-42.5115,-44.7106
30167.50,-15.9644,-42.5032,-42.5032,-44.7009
30168.50,-15.9650,-42.4947,-42.4947,-44.6914
30169.50,-15.9653,-42.4865,-42.4865,-44.6823
30170.50,-15.9656,-42.4782,-42.4782,-44.6734
30171.50,-15.9659,-42.4700,-42.4700,-44.6646
30172.50,-15.9662,-42.4618,-42.4618,-44.6560
30173.50,-15.9665,-42.4535,-42.4535,-44.6472
30174.50,-15.9671,-42.4453,-42.4453,-44.6387
30175.50,-15.9674,-42.4371,-42.4371,-44.6298
30176.50,-15.9674,-42.4289,-42.4289,-44.6207
30177.50,-15.9677,-42.4206,-42.4206,-44.6112
30178.50,-15.9680,-42.4121,-42.4121,-44.6018
30179.50,-15.9683,-42.4039,-42.4039,-44.5917
30180.50,-15.9686,-42.3956,-42.3956,-44.5814
30181.50,-15.9686,-42.3874,-42.3874,-44.5704
30182.50,-15.9689,-42.3792,-42.3792,-44.5588
30183.50,-15.9689,-42.3709,-42.3709,-44.5469
30184.50,-15.9692,-42.3627,-42.3627,-44.5338
30185.50,-15.9692,-42.3545,-42.3545,-44.5204
30186.50,-15.9692,-42.3462,-42.3462,-44.5061
30187.50,-15.9692,-42.3380,-42.3380,-44.4905
30188.50,-15.9692,-42.3295,-42.3295,-44.4744
30189.50,-15.9692,-42.3213,-42.3213,-44.4570
30190.50,-15.9692,-42.3130,-42.3130,-44.4387
30191.50,-15.9689,-42.3048,-42.3048,-44.4192
30192.50,-15.9689,-42.2966,-42.2966,-44.3982
30193.50,-15.9686,-42.2883,-42.2883,-44.3762
30194.50,-15.9683,-42.2716,-42.2716,-44.3546
30195.50,-15.9686,-42.2548,-42.2548,-44.3427
30196.50,-15.9695,-42.2670,-42.2670,-44.3467
30197.50,-15.9708,-42.2792,-42.2792,-44.3543
30198.50,-15.9723,-42.2914,-42.2914,-44.3488
30199.50,-15.9738,-42.3158,-42.3158,-44.3305
30200.50,-15.9750,-42.2640,-42.2640,-44.3336
30201.50,-15.9759,-42.1847,-42.1847,-44.3092
30202.50,-15.9775,-42.1756,-42.1756,-44.3092
30203.50,-15.9820,-42.1481,-42.1481,-44.3092
30204.50,-15.9808,-42.2426,-42.2426,-44.2848
30205.50,-15.9768,-42.3402,-42.3402,-44.2543
30206.50,-15.9753,-42.3127,-42.3127,-44.2421
30207.50,-15.9805,-42.2457,-42.2457,-44.2543
30208.50,-15.9832,-42.2030,-42.2030,-44.2543
30209.50,-15.9823,-42.2030,-42.2030,-44.2421
30210.50,-15.9820,-42.1451,-42.1451,-44.2330
30211.50,-15.9829,-42.1512,-42.1512,-44.2208
30212.50,-15.9836,-42.0963,-42.0963,-44.2147
30213.50,-15.9820,-42.1390,-42.1390,-44.1934
30214.50,-15.9790,-42.1481,-42.1481,-44.1659
30215.50,-15.9875,-42.1085,-42.1085,-44.1903
30216.50,-15.9951,-42.1664,-42.1664,-44.1964
30217.50,-15.9933,-42.1176,-42.1176,-44.1934
30218.50,-15.9893,-42.1009,-42.1009,-44.1720
30219.50,-15.9887,-42.0841,-42.0841,-44.1659
30220.50,-15.9909,-42.0963,-42.0963,-44.1629
30221.50,-15.9912,-42.1542,-42.1542,-44.1476
30222.50,-15.9839,-42.1695,-42.1695,-44.1172
30223.50,-15.9869,-42.1055,-42.1055,-44.1202
30224.50,-15.9887,-42.1786,-42.1786,-44.1080
30225.50,-15.9884,-42.2091,-42.2091,-44.0989
30226.50,-15.9878,-42.2487,-42.2487,-44.0836
30227.50,-15.9854,-42.2731,-42.2731,-44.0653
30228.50,-15.9866,-42.2975,-42.2975,-44.0592
30229.50,-15.9872,-42.2975,-42.2975,-44.0562
30230.50,-15.9906,-42.3493,-42.3493,-44.0531
30231.50,-15.9893,-42.3402,-42.3402,-44.0501
30232.50,-15.9863,-42.2335,-42.2335,-44.0501
30233.50,-15.9863,-42.2060,-42.2060,-44.0470
30234.50,-15.9896,-42.1695,-42.1695,-44.0470
30235.50,-15.9964,-42.1420,-42.1420,-44.0623
30236.50,-16.0015,-42.2396,-42.2396,-44.0775
30237.50,-15.9988,-42.2853,-42.2853,-44.0623
30238.50,-15.9936,-42.3188,-42.3188,-44.0410
30239.50,-15.9890,-42.3584,-42.3584,-44.0227
30240.50,-15.9893,-42.3005,-42.3005,-44.0196
30241.50,-15.9948,-42.3645,-42.3645,-44.0349
30242.50,-15.9985,-42.4316,-42.4316,-44.0470
30243.50,-15.9951,-42.4225,-42.4225,-44.0349
30244.50,-15.9878,-42.4225,-42.4225,-44.0044
30245.50,-15.9772,-42.3828,-42.3828,-43.9739
30246.50,-15.9653,-42.3615,-42.3615,-43.9739
30247.50,-15.9893,-42.3615,-42.3615,-44.0440
30248.50,-15.9967,-42.3249,-42.3249,-44.0562
30249.50,-15.9924,-42.3036,-42.3036,-44.0379
30250.50,-15.9909,-42.2396,-42.2396,-44.0379
30251.50,-15.9964,-42.1756,-42.1756,-44.0501
30252.50,-15.9994,-42.1634,-42.1634,-44.0562
30253.50,-16.0003,-42.1481,-42.1481,-44.0501
30254.50,-15.9979,-42.1664,-42.1664,-44.0349
30255.50,-15.9964,-42.1847,-42.1847,-44.0196
30256.50,-16.0037,-42.2060,-42.2060,-44.0379
30257.50,-16.0073,-42.1512,-42.1512,-44.0379
30258.50,-15.9985,-42.0994,-42.0994,-44.0166
30259.50,-15.9951,-42.0811,-42.0811,-44.0013
30260.50,-15.9979,-42.0902,-42.0902,-43.9922
30261.50,-16.0089,-42.1085,-42.1085,-44.0166
30262.50,-16.0119,-42.1085,-42.1085,-44.0166
30263.50,-16.0052,-42.1298,-42.1298,-43.9861
30264.50,-15.9957,-42.0811,-42.0811,-43.9648
30265.50,-15.9994,-42.0354,-42.0354,-43.9587
30266.50,-16.0058,-41.9500,-41.9500,-43.9769
30267.50,-16.0180,-41.9012,-41.9012,-44.0074
30268.50,-16.0171,-41.8494,-41.8494,-43.9952
30269.50,-16.0113,-41.8250,-41.8250,-43.9678
30270.50,-16.0061,-41.8616,-41.8616,-43.9465
30271.50,-16.0049,-41.8220,-41.8220,-43.9282
30272.50,-15.9930,-41.8342,-41.8342,-43.9221
30273.50,-16.0061,-41.8098,-41.8098,-43.9465
30274.50,-16.0067,-41.7854,-41.7854,-43.9343
30275.50,-16.0113,-41.8403,-41.8403,-43.9373
30276.50,-16.0098,-41.8799,-41.8799,-43.9190
30277.50,-16.0085,-41.9348,-41.9348,-43.9099
30278.50,-16.0140,-41.9470,-41.9470,-43.9160
30279.50,-16.0156,-41.9835,-41.9835,-43.9190
30280.50,-16.0149,-42.0018,-42.0018,-43.9129
30281.50,-16.0107,-42.0750,-42.0750,-43.9007
30282.50,-16.0067,-42.1146,-42.1146,-43.8886
30283.50,-16.0067,-42.1268,-42.1268,-43.8946
30284.50,-16.0143,-42.1862,-42.1862,-43.9145
30285.50,-16.0146,-42.2457,-42.2457,-43.9190
30286.50,-16.0064,-42.3066,-42.3066,-43.8977
30287.50,-16.0061,-42.2396,-42.2396,-43.9038
30288.50,-16.0113,-42.2426,-42.2426,-43.9221
